,Country,Country Code,year,GDP,LOCATION,INDICATOR,SUBJECT,TIME,Value
301,Austria,AUT,2006,37623.07576,AUT,PISAREAD,TOT,2006,490.0
302,Austria,AUT,2006,37623.07576,AUT,PISASCIENCE,BOY,2006,515.0
303,Austria,AUT,2006,37623.07576,AUT,PISASCIENCE,GIRL,2006,507.0
304,Austria,AUT,2006,37623.07576,AUT,PISASCIENCE,TOT,2006,511.0
305,Belgium,BEL,2006,35222.60515,BEL,PISAMATH,BOY,2006,524.0
306,Belgium,BEL,2006,35222.60515,BEL,PISAMATH,GIRL,2006,517.0
307,Belgium,BEL,2006,35222.60515,BEL,PISAMATH,TOT,2006,520.0
308,Belgium,BEL,2006,35222.60515,BEL,PISAREAD,BOY,2006,482.0
309,Belgium,BEL,2006,35222.60515,BEL,PISAREAD,GIRL,2006,522.0
310,Belgium,BEL,2006,35222.60515,BEL,PISAREAD,TOT,2006,501.0
311,Belgium,BEL,2006,35222.60515,BEL,PISASCIENCE,BOY,2006,511.0
312,Belgium,BEL,2006,35222.60515,BEL,PISASCIENCE,GIRL,2006,510.0
313,Belgium,BEL,2006,35222.60515,BEL,PISASCIENCE,TOT,2006,510.0
314,Brazil,BRA,2006,11659.39278,BRA,PISAMATH,BOY,2006,380.0
315,Brazil,BRA,2006,11659.39278,BRA,PISAMATH,GIRL,2006,361.0
316,Brazil,BRA,2006,11659.39278,BRA,PISAMATH,TOT,2006,370.0
317,Brazil,BRA,2006,11659.39278,BRA,PISAREAD,BOY,2006,376.0
318,Brazil,BRA,2006,11659.39278,BRA,PISAREAD,GIRL,2006,408.0
319,Brazil,BRA,2006,11659.39278,BRA,PISAREAD,TOT,2006,393.0
320,Brazil,BRA,2006,11659.39278,BRA,PISASCIENCE,BOY,2006,395.0
321,Brazil,BRA,2006,11659.39278,BRA,PISASCIENCE,GIRL,2006,386.0
322,Brazil,BRA,2006,11659.39278,BRA,PISASCIENCE,TOT,2006,390.0
323,Canada,CAN,2006,37999.0386,CAN,PISAMATH,BOY,2006,534.0
324,Canada,CAN,2006,37999.0386,CAN,PISAMATH,GIRL,2006,520.0
325,Canada,CAN,2006,37999.0386,CAN,PISAMATH,TOT,2006,527.0
